cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,changed_frac,changed_frac_small,changed_frac_large,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,fixed_grpo,0.84328,0.0,0.55,0.8352,0.92,0.92,8.76,0.5732,0.0944,0.0588,1.2933,1.7e-05,1552.422,0.143288,0.781108,0.003548,0.0,14.27242374420166,False,0.25,0.25,0.25,0.25,0.55,0.0,0.0
2,GSM8K,fixed_grpo,0.28572,0.0,0.5613,0.8039,0.9,0.9,8.96,0.5548,0.098,0.0752,1.2463,2.3e-05,1552.422,0.144082,0.785538,0.003546,0.0,14.02599048614502,False,0.25,0.25,0.25,0.25,0.5613,0.0,0.0
3,GSM8K,fixed_grpo,0.31144,0.0,0.6525,0.8629,0.94,0.94,10.06,0.4249,0.1223,0.0762,0.9657,2.8e-05,1552.422,0.147012,0.801274,0.00367,0.0,14.336578369140625,False,0.25,0.25,0.25,0.25,0.6525,0.0,0.0
4,GSM8K,fixed_grpo,0.20598,0.0,0.57,0.8311,0.92,0.92,9.04,0.5698,0.1049,0.0641,1.2682,3.2e-05,1552.422,0.147858,0.805718,0.003728,0.0,13.810184478759766,False,0.25,0.25,0.25,0.25,0.57,0.0,0.0
5,GSM8K,fixed_grpo,0.36585,0.0,0.6188,0.8884,0.96,0.96,9.88,0.5399,0.0979,0.065,1.1138,3.6e-05,1552.422,0.149811,0.816331,0.003784,0.0,14.288211822509766,False,0.25,0.25,0.25,0.25,0.6188,0.0,0.0
6,GSM8K,fixed_grpo,0.32567,0.0,0.6475,0.8574,0.94,0.94,10.28,0.4893,0.0936,0.0708,0.9624,4e-05,1552.422,0.151524,0.825635,0.003832,0.0,14.25794506072998,False,0.25,0.25,0.25,0.25,0.6475,0.0,0.0
7,GSM8K,fixed_grpo,0.19555,0.0,0.5413,0.8242,0.96,0.96,8.66,0.5583,0.0961,0.0769,1.2972,4.3e-05,1552.422,0.152374,0.830222,0.003864,0.0,14.050986289978027,False,0.25,0.25,0.25,0.25,0.5413,0.0,0.0
8,GSM8K,fixed_grpo,0.44301,0.0,0.5863,0.8405,0.96,0.96,9.38,0.5782,0.0966,0.0607,1.1424,4.6e-05,1552.422,0.153051,0.833862,0.003892,0.0,13.90860652923584,False,0.25,0.25,0.25,0.25,0.5863,0.0,0.0
9,GSM8K,fixed_grpo,0.40343,0.0,0.6125,0.8358,0.98,0.98,9.78,0.5425,0.1116,0.0552,1.0926,4.8e-05,1552.422,0.153715,0.837434,0.003919,0.0,14.55895709991455,False,0.25,0.25,0.25,0.25,0.6125,0.0,0.0
10,GSM8K,fixed_grpo,0.43697,0.0,0.675,0.8811,0.94,0.94,10.74,0.4908,0.1299,0.0662,0.908,5.1e-05,1552.422,0.15415,0.839768,0.003938,0.0,14.05565071105957,False,0.25,0.25,0.25,0.25,0.675,0.0,0.0
11,Code,fixed_grpo,-0.30386,-0.0225,0.2387,0.5417,0.78,0.78,3.72,0.6901,0.0848,0.0638,1.8426,5.7e-05,1552.422,0.168177,0.917064,0.004103,0.0,12.49734878540039,False,0.25,0.25,0.25,0.25,0.6525,0.2387,0.0
12,Code,fixed_grpo,0.63759,0.015,0.235,0.498,0.7,0.7,3.7,0.7384,0.0793,0.0513,1.7927,6.2e-05,1552.422,0.169064,0.921821,0.004143,0.0,12.242334365844727,False,0.25,0.25,0.25,0.25,0.69,0.235,0.0
13,Code,fixed_grpo,0.76892,0.055,0.1988,0.4767,0.74,0.74,3.14,0.7472,0.0745,0.0516,1.9004,6.7e-05,1552.422,0.170714,0.930762,0.004195,0.0,12.636496543884277,False,0.25,0.25,0.25,0.25,0.73,0.1988,0.0
14,Code,fixed_grpo,0.94379,0.07875,0.18,0.4455,0.76,0.76,2.84,0.7579,0.074,0.0498,1.9345,7.3e-05,1552.422,0.172689,0.941443,0.004263,0.0,13.099339485168457,False,0.25,0.25,0.25,0.25,0.7538,0.18,0.0
